Ticker,Sector,Industry,Market_Cap,Volume
BANR,Financial Services,Banks - Regional,2361530112,215098
TCBK,Financial Services,Banks - Regional,1461577856,112633
SMBC,Financial Services,Banks - Regional,682270592,32793
SHBI,Financial Services,Banks - Regional,549981312,118762
OFG,Financial Services,Banks - Regional,1969369600,316867
MBWM,Financial Services,Banks - Regional,795856064,71637
INDB,Financial Services,Banks - Regional,2932966400,252847
GBCI,Financial Services,Banks - Regional,5721131008,583101
FSBW,Financial Services,Banks - Regional,305800704,15686
FRBA,Financial Services,Banks - Regional,382034176,48479
FBIZ,Financial Services,Banks - Regional,444803488,31406
BXC,Industrials,Industrial Distribution,851060096,53037
BSM,Energy,Oil & Gas E&P,3185708544,521072
TSBK,Financial Services,Banks - Regional,244232320,11322
TBBK,Financial Services,Banks - Regional,2935334656,459637
PKBK,Financial Services,Banks - Regional,235196240,28801
GCBC,Financial Services,Banks - Regional,456148000,23445
DCOM,Financial Services,Banks - Regional,1359261568,330503
CWBC,Financial Services,Banks - Regional,359568672,50710
BMA,Financial Services,Banks - Regional,6398834176,352794
UNTY,Financial Services,Banks - Regional,481548768,39335
UBSI,Financial Services,Banks - Regional,5480532480,539038
RBCAA,Financial Services,Banks - Regional,1302439296,20462
FFIN,Financial Services,Banks - Regional,5328327680,481313
COLB,Financial Services,Banks - Regional,5755953664,1418381
BMRC,Financial Services,Banks - Regional,395801696,52759
PWOD,Financial Services,Banks - Regional,236525952,20662
NGVC,Consumer Defensive,Grocery Stores,1142203136,135461
NEWT,Financial Services,Banks - Regional,335653088,139571
NBN,Financial Services,Banks - Regional,885975168,54189
FMBH,Financial Services,Banks - Regional,921422080,55064
FBMS,Financial Services,Banks - Regional,1178077952,134203
ESSA,Financial Services,Banks - Regional,221778656,23635
CUBI,Financial Services,Banks - Regional,1767629056,323749
BLD,Industrials,Engineering & Construction,9650890752,293162
BCH,Financial Services,Banks - Regional,13268583424,219961
PEBO,Financial Services,Banks - Regional,1165419136,126181
HWBK,Financial Services,Banks - Regional,247050416,10228
HBCP,Financial Services,Banks - Regional,403362272,20908
FMNB,Financial Services,Banks - Regional,537880000,84257
FCBC,Financial Services,Banks - Regional,807075264,34818
EBTC,Financial Services,Banks - Regional,532824224,43876
BECN,Industrials,Industrial Distribution,7378287616,867952
WTBA,Financial Services,Banks - Regional,374188704,28557
SYBT,Financial Services,Banks - Regional,2219391744,142833
CIVB,Financial Services,Banks - Regional,337890560,54703
OVLY,Financial Services,Banks - Regional,232581152,15184
HBNC,Financial Services,Banks - Regional,757704000,167308
FBNC,Financial Services,Banks - Regional,1790755968,182025
CFNB,Financial Services,Credit Services,204806576,127
CART,Consumer Cyclical,Internet Retail,12842181632,3956122
PLBC,Financial Services,Banks - Regional,266107248,10633
PVBC,Financial Services,Banks - Regional,224846640,30076
PBR-A,Energy,Oil & Gas Integrated,84998332416,4981930
CTBI,Financial Services,Banks - Regional,1005463872,63283
BWFG,Financial Services,Banks - Regional,245070752,15761
F,Consumer Cyclical,Auto Manufacturers,37058260992,67197874
GE,Industrials,Aerospace & Defense,2.24E+11,5309025
XOM,Energy,Oil & Gas Integrated,4.71E+11,15566167
INTC,Technology,Semiconductors,1.04E+11,74850340
C,Financial Services,Banks - Diversified,1.54E+11,14176549
JPM,Financial Services,Banks - Diversified,7.73E+11,8950374
CSCO,Technology,Communication Equipment,2.54E+11,19569984
PG,Consumer Defensive,Household & Personal Products,4.01E+11,7005801
WFC,Financial Services,Banks - Diversified,2.59E+11,15789855
GM,Consumer Cyclical,Auto Manufacturers,47650643968,11492920
MCD,Consumer Cyclical,Restaurants,2.22E+11,3107544
CAT,Industrials,Farm & Heavy Construction Machinery,1.71E+11,2114754
CVX,Energy,Oil & Gas Integrated,2.74E+11,8192011
SBUX,Consumer Cyclical,Restaurants,1.28E+11,9106076
CMG,Consumer Cyclical,Restaurants,78785921024,9137277
MMM,Industrials,Conglomerates,80740081664,3471296
COP,Energy,Oil & Gas E&P,1.25E+11,7184250
DE,Industrials,Farm & Heavy Construction Machinery,1.27E+11,1359050
UNP,Industrials,Railroads,1.52E+11,2695323
LOW,Consumer Cyclical,Home Improvement Retail,1.43E+11,2314550
LMT,Industrials,Aerospace & Defense,1.02E+11,1356276
HAL,Energy,Oil & Gas Equipment & Services,22813458432,10012827
EMR,Industrials,Specialty Industrial Machinery,70656671744,2999008
X,Basic Materials,Steel,8742923264,7451372
DOW,Basic Materials,Chemicals,26984919040,7682383
NVDA,Technology,Semiconductors,3.31E+12,245980445
FDX,Industrials,Integrated Freight & Logistics,63372718080,1818928
CL,Consumer Defensive,Household & Personal Products,71692713984,4704344
TM,Consumer Cyclical,Auto Manufacturers,2.41E+11,398866
KMB,Consumer Defensive,Household & Personal Products,44912447488,2212335
GD,Industrials,Aerospace & Defense,66549604352,1645379
UAL,Industrials,Airlines,33180299264,5505850
KSS,Consumer Cyclical,Department Stores,1320231424,9694601
VLO,Energy,Oil & Gas Refining & Marketing,41469468672,2930159
DVN,Energy,Oil & Gas E&P,22479118336,10017950
STX,Technology,Computer Hardware,21484027904,2988650
OXY,Energy,Oil & Gas E&P,44927860736,10813969
CSX,Industrials,Railroads,63830700032,12460991
MPC,Energy,Oil & Gas Refining & Marketing,48692436992,2778494
KR,Consumer Defensive,Grocery Stores,47490260992,5807077
LVS,Consumer Cyclical,Resorts & Casinos,30219614208,5105337
LRCX,Technology,Semiconductor Equipment & Materials,1.07E+11,11920422
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5599987712,909801
FAST,Industrials,Industrial Distribution,42886086656,2833308
O,Real Estate,REIT - Retail,48066588672,4926637
IP,Consumer Cyclical,Packaging & Containers,29231071232,7803313
MCO,Financial Services,Financial Data & Stock Exchanges,95104638976,638428
GME,Consumer Cyclical,Specialty Retail,11768712192,10069752
HMC,Consumer Cyclical,Auto Manufacturers,42090184704,1573623
EL,Consumer Defensive,Household & Personal Products,25061343232,4424655
