OI,Consumer Cyclical,Packaging & Containers,1802595584,1426016
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",7554988544,731761
PZZA,Consumer Cyclical,Restaurants,1673861248,1330620
INVE,Industrials,Building Products & Equipment,83837048,64835
TXT,Industrials,Aerospace & Defense,13346085888,1223871
OII,Energy,Oil & Gas Equipment & Services,2559849728,736847
NWL,Consumer Defensive,Household & Personal Products,2916160000,6572011
LYB,Basic Materials,Specialty Chemicals,24701759488,2962072
RT,Unknown,Unknown,,
LII,Industrials,Building Products & Equipment,22057635840,440327
TAHO,Unknown,Unknown,,
SIR,Unknown,Unknown,,
QRVO,Technology,Semiconductors,7237317632,3241118
PAY,Technology,Software - Infrastructure,3839973376,441323
OCLR,Unknown,Unknown,,
KBR,Industrials,Engineering & Construction,6988542976,1510594
YRCW,Unknown,Unknown,,
WWD,Industrials,Aerospace & Defense,11321713664,486706
VSLR,Unknown,Unknown,,
RRTS,Industrials,Trucking,200650064,17371
ORIG,Unknown,Unknown,,
MMS,Industrials,Specialty Business Services,3814866944,912457
VNTV,Unknown,Unknown,,
TWI,Industrials,Farm & Heavy Construction Machinery,552469760,830718
TTEK,Industrials,Engineering & Construction,8250148352,2823835
SUP,Consumer Cyclical,Auto Parts,57194480,87994
MTZ,Industrials,Engineering & Construction,10851232768,901210
MSCI,Financial Services,Financial Data & Stock Exchanges,44440240128,486523
MPW,Real Estate,REIT - Healthcare Facilities,2905936128,12910103
MELI,Consumer Cyclical,Internet Retail,104748425216,369783
MDR,Unknown,Unknown,,
LSTR,Industrials,Integrated Freight & Logistics,5643159552,287886
LAD,Consumer Cyclical,Auto & Truck Dealerships,10247064576,334410
VMI,Industrials,Conglomerates,6472236032,117367
SKYW,Industrials,Airlines,4387261440,363103
ROL,Consumer Cyclical,Personal Services,25145114624,1625383
RAVN,Unknown,Unknown,,
PRLB,Industrials,Metal Fabrication,1103689728,262977
PMT,Real Estate,REIT - Mortgage,1191732992,742196
PLD,Real Estate,REIT - Industrial,111974555648,4173789
MUX,Basic Materials,Other Precious Metals & Mining,403286976,767430
TBI,Industrials,Staffing & Employment Services,218735856,156728
SFLY,Unknown,Unknown,,
REV,Unknown,Unknown,,
IIIN,Industrials,Metal Fabrication,599822656,164320
ZEUS,Basic Materials,Steel,389080896,90654
XYL,Industrials,Specialty Industrial Machinery,31847657472,1442906
UDR,Real Estate,REIT - Residential,16248521728,1834642
TXRH,Consumer Cyclical,Restaurants,11436797952,778998
PRKR,Technology,Semiconductors,88997040,247496
MTN,Consumer Cyclical,Resorts & Casinos,6217395200,600577
LPTH,Technology,Electronic Components,113044960,378723
TPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances",11884811264,1859800
THO,Consumer Cyclical,Recreational Vehicles,5456626176,585215
SUMR,Unknown,Unknown,,
SSNI,Unknown,Unknown,,
SHLO,Unknown,Unknown,,
SDT,Unknown,Unknown,,
RWT,Real Estate,REIT - Mortgage,856079232,960111
REIS,Unknown,Unknown,,
PLAB,Technology,Semiconductor Equipment & Materials,1426313216,516742
OSTK,Unknown,Unknown,,
MWA,Industrials,Specialty Industrial Machinery,4239161856,1276515
MPWR,Technology,Semiconductors,33475620864,931864
LXU,Basic Materials,Chemicals,559360832,309508
KRO,Basic Materials,Specialty Chemicals,1068684416,182686
JOBS,Unknown,Unknown,,
ZOES,Unknown,Unknown,,
WTI,Energy,Oil & Gas E&P,246087856,1966105
WSBC,Financial Services,Banks - Regional,2447257088,459650
WRI,Unknown,Unknown,,
TREE,Financial Services,Financial Conglomerates,617057152,290903
SWM,Unknown,Unknown,,
STNG,Energy,Oil & Gas Midstream,2229427200,968720
SPAR,Unknown,Unknown,,
RBCN,Technology,Semiconductor Equipment & Materials,5207426,937
NR,Energy,Oil & Gas Equipment & Services,627105408,626267
LYTS,Technology,Electronic Components,600522496,140961
WOOF,Consumer Cyclical,Specialty Retail,810431552,4227357
WMK,Consumer Defensive,Grocery Stores,1947713280,78118
WEX,Technology,Software - Infrastructure,6171185152,437408
W,Consumer Cyclical,Internet Retail,5963931136,3516630
SYPR,Consumer Cyclical,Auto Parts,47195100,148133
SCHN,Unknown,Unknown,,
ROP,Technology,Software - Application,61488324608,617349
OTIV,Unknown,Unknown,,
OSIS,Technology,Electronic Components,3540620288,228084
OMN,Unknown,Unknown,,
MYE,Consumer Cyclical,Packaging & Containers,448608000,462589
MTX,Basic Materials,Specialty Chemicals,2355937024,153125
MTEX,Consumer Defensive,Food Distribution,19874944,6522
MGA,Consumer Cyclical,Auto Parts,11398857728,1545901
KNX,Industrials,Trucking,8816692224,1935422
JOUT,Consumer Cyclical,Leisure,307111616,51118
WING,Consumer Cyclical,Restaurants,9112193024,509589
VEC,Unknown,Unknown,,
TACT,Technology,Computer Hardware,43945656,16591
SEDG,Technology,Solar,860558976,4448905
QUAD,Industrials,Specialty Business Services,408612192,270577
OFLX,Industrials,Specialty Industrial Machinery,388327744,17513
NXTD,Unknown,Unknown,,
NP,Unknown,Unknown,,
NNI,Financial Services,Credit Services,4087128576,46750
NL,Industrials,Security & Protection Services,352191904,31986
MGI,Unknown,Unknown,,
MATX,Industrials,Marine Shipping,4710520320,244013
KNL,Unknown,Unknown,,
KELYA,Industrials,Staffing & Employment Services,506385152,638027
XRM,Unknown,Unknown,,
WTS,Industrials,Specialty Industrial Machinery,7332732416,167852
TTI,Energy,Oil & Gas Equipment & Services,590508800,992069
TIER,Unknown,Unknown,,
TEN,Energy,Oil & Gas Midstream,520183712,347777
TAX,Unknown,Unknown,,16970
SSTK,Communication Services,Internet Content & Information,1026080000,575844
SSI,Unknown,Unknown,,
SRI,Consumer Cyclical,Auto Parts,115736256,327867
SDR,Unknown,Unknown,,
SAIA,Industrials,Trucking,12823890944,364179
OIS,Energy,Oil & Gas Equipment & Services,343954944,493144
NLST,Technology,Semiconductors,182135488,681905
NLS,Unknown,Unknown,,
MRCY,Industrials,Aerospace & Defense,2723849984,521340
MERC,Basic Materials,Paper & Paper Products,435328928,280798
LZB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1919325952,399725
LPI,Unknown,Unknown,,
JMBA,Unknown,Unknown,,
IMKTA,Consumer Defensive,Grocery Stores,1229887360,119752
WOR,Industrials,Metal Fabrication,2165904384,262115
UG,Consumer Defensive,Household & Personal Products,47551212,10603
TRK,Unknown,Unknown,,
TOWR,Unknown,Unknown,,
SRT,Unknown,Unknown,,
REXR,Real Estate,REIT - Industrial,9590383616,2068903
QTS,Unknown,Unknown,,
PLT,Unknown,Unknown,,
MTOR,Unknown,Unknown,,
MINI,Unknown,Unknown,,
LDL,Unknown,Unknown,,
UEPS,Unknown,Unknown,,
TEDU,Unknown,Unknown,,
SCS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1412427264,582833
RSPP,Unknown,Unknown,,
POWL,Industrials,Electrical Equipment & Parts,2584861952,518776
PFSW,Unknown,Unknown,,
OLP,Real Estate,REIT - Diversified,561411392,51625
NTRI,Unknown,Unknown,,
NPK,Industrials,Aerospace & Defense,708259904,39788
NC,Energy,Thermal Coal,232481472,10203
NANO,Unknown,Unknown,,
KFY,Industrials,Staffing & Employment Services,3435943680,343437
KAI,Industrials,Specialty Industrial Machinery,4160067840,102957
WCC,Industrials,Industrial Distribution,9490159616,663644
